Agincourt,http://www.torontopubliclibrary.ca/detail.jsp?R=LIB02,"155 Bonis Ave., Toronto, ON, M1T 3W6",416-396-8943,-79.29342962962961,43.78516666666665
Albert Campbell,http://www.torontopubliclibrary.ca/detail.jsp?R=LIB03,"496 Birchmount Road, Toronto, ON, M1K 1N8",416-396-8890,-79.26925185185183,43.708018518518514
Albion,http://www.torontopubliclibrary.ca/detail.jsp?R=LIB04,"1515 Albion Road, Toronto, ON, M9V 1B2",416-394-5170,-79.58409629629628,43.7398259259259
Alderwood,http://www.torontopubliclibrary.ca/detail.jsp?R=LIB020,"2 Orianna Drive, Toronto, ON, M8W 4Y1",416-394-5310,-79.54725185185184,43.60194444444441
Amesbury Park,http://www.torontopubliclibrary.ca/detail.jsp?R=LIB021,"1565 Lawrence Ave. W., Toronto, ON, M6L 1A8",416-395-5420,-79.4857259259259,43.706455555555536
Annette Street,http://www.torontopubliclibrary.ca/detail.jsp?R=LIB022,"145 Annette Street, Toronto, ON, M6P 1P3",416-393-7692,-79.46634814814814,43.66335925925924
Armour Heights,http://www.torontopubliclibrary.ca/detail.jsp?R=LIB023,"2140 Avenue Road, Toronto, ON, M5M 4M7",416-395-5430,-79.42188888888888,43.73933703703702
Barbara Frum,http://www.torontopubliclibrary.ca/detail.jsp?R=LIB05,"20 Covington Road, Toronto, ON, M6A 3C1",416-395-5440,-79.43221481481477,43.72075185185185
Bayview,http://www.torontopubliclibrary.ca/detail.jsp?R=LIB024,"2901 Bayview Ave., Bayview Village Shopping Centre, Toronto, ON, M2K 1E6",416-395-5460,-79.38499999999999,43.76885555555552
Beaches,http://www.torontopubliclibrary.ca/detail.jsp?R=LIB025,"2161 Queen Street East, Toronto, ON, M4L 1J1",416-393-7703,-79.29852592592593,43.670129629629606
Bendale,http://www.torontopubliclibrary.ca/detail.jsp?R=LIB026,"1515 Danforth Road, Toronto, ON, M1J 1H5",416-396-8910,-79.24405185185185,43.75106296296295
Black Creek,http://www.torontopubliclibrary.ca/detail.jsp?R=LIB027,"1700 Wilson Ave., North York Sheridan Mall, Toronto, ON, M3L 1B2",416-395-5470,-79.51046666666666,43.72121851851851
Bloor/Gladstone,http://www.torontopubliclibrary.ca/detail.jsp?R=LIB06,"1101 Bloor Street West, Toronto, ON, M6H 1M7",416-393-7674,-79.43402222222222,43.659877777777766
Brentwood,http://www.torontopubliclibrary.ca/detail.jsp?R=LIB07,"36 Brentwood Road North, Toronto, ON, M8X 2B5",416-394-5240,-79.51425925925925,43.64744814814814
Bridlewood,http://www.torontopubliclibrary.ca/detail.jsp?R=LIB028,"2900 Warden Ave., Bridlewood Mall, Toronto, ON, M1W 2S8",416-396-8960,-79.31777037037037,43.79714444444444
Brookbanks,http://www.torontopubliclibrary.ca/detail.jsp?R=LIB029,"210 Brookbanks Dr., Toronto, ON, M3A 2T8",416-395-5480,-79.32590370370369,43.7595074074074
Burrows Hall,http://www.torontopubliclibrary.ca/detail.jsp?R=LIB030,"1081 Progress Ave., Toronto, ON, M1B 5Z6",416-396-8740,-79.23422962962961,43.79388518518518
Cedarbrae,http://www.torontopubliclibrary.ca/detail.jsp?R=LIB08,"545 Markham Road, Toronto, ON, M1H 2A1",416-396-8850,-79.22396296296296,43.75752962962963
Centennial,http://www.torontopubliclibrary.ca/detail.jsp?R=LIB031,"578 Finch Ave. West, Toronto, ON, M2R 1N7",416-395-5490,-79.44957777777775,43.77298888888886
